timestamp,IP_ORIGEM,PORTA_ORIGEM,ZONA_ORIGEM,IP_DESTINO,PORTA_DESTINO,ZONA_DESTINO,PROTOCOLO,APLICACAO,DURACAO_SESSAO,FINAL_SESSAO,BYTES,BYTES_RECEBIDOS,BYTES_ENVIADOS,LABEL
2022-09-05T18:25:27.000-03:00,150.161.197.16,47138,UFPE,150.161.50.187,22,REDE_PRODUCAO,tcp,ssh,16,tcp-fin,29642,15425,14217,Legitimo
2022-09-05T18:34:45.000-03:00,150.161.196.54,38794,UFPE,150.161.50.136,22,REDE_PRODUCAO,tcp,ssh,3294,tcp-fin,228682,147269,81413,Legitimo
2022-09-05T18:37:00.000-03:00,150.161.197.16,47150,UFPE,150.161.50.187,22,REDE_PRODUCAO,tcp,ssh,17,tcp-fin,23294,15285,8009,Legitimo
2022-09-06T07:58:21.000-03:00,150.161.11.105,58913,UFPE,150.161.50.187,22,REDE_PRODUCAO,tcp,ssh,17,tcp-fin,5786498,5603543,182955,Legitimo
2022-09-06T08:00:29.000-03:00,150.161.11.105,59118,UFPE,150.161.50.187,22,REDE_PRODUCAO,tcp,ssh,17,tcp-fin,8838,5175,3663,Legitimo
2022-09-06T08:01:02.000-03:00,150.161.11.105,59157,UFPE,150.161.50.187,22,REDE_PRODUCAO,tcp,ssh,17,tcp-fin,8902,5239,3663,Legitimo
2022-09-06T08:02:03.000-03:00,150.161.11.105,59282,UFPE,150.161.50.187,22,REDE_PRODUCAO,tcp,ssh,16,tcp-fin,8838,5175,3663,Legitimo
2022-09-06T08:02:11.000-03:00,150.161.11.105,59312,UFPE,150.161.50.187,22,REDE_PRODUCAO,tcp,ssh,16,tcp-fin,8838,5175,3663,Legitimo
2022-09-06T08:29:42.000-03:00,150.161.11.134,47822,UFPE,150.161.50.187,22,REDE_PRODUCAO,tcp,ssh,17,tcp-fin,412386,397593,14793,Legitimo
2022-09-06T08:29:50.000-03:00,150.161.11.134,47824,UFPE,150.161.50.187,22,REDE_PRODUCAO,tcp,ssh,18,tcp-fin,257346,238383,18963,Legitimo
2022-09-06T08:40:07.000-03:00,150161196132,50534,UFPE,150.161.50.139,22,REDE_PRODUCAO,tcp,ssh,3649,aged-out,32329,15089,17240,Legitimo
2022-09-06T08:44:55.000-03:00,150.161.197.16,56059,UFPE,150.161.50.187,22,REDE_PRODUCAO,tcp,ssh,17,tcp-fin,53702,45543,8159,Legitimo
2022-09-06T08:46:29.000-03:00,150.161.0.16,49304,HOMOLOGACAO,150.161.50.187,22,REDE_PRODUCAO,tcp,ssh,17,tcp-fin,5730062,5676623,53439,Legitimo
2022-09-06T09:24:24.000-03:00,150.161.1.78,54457,UFPE,150.161.50.253,22,REDE_PRODUCAO,tcp,ssh,144916,tcp-fin,242408930,185405130,57003800,Legitimo
2022-09-06T09:46:53.000-03:00,150.161.0.16,51538,HOMOLOGACAO,150.161.50.187,22,REDE_PRODUCAO,tcp,ssh,16,tcp-fin,23424,15993,7431,Legitimo
2022-09-06T09:51:32.000-03:00,150.161.1.78,61882,UFPE,150.161.50.253,22,REDE_PRODUCAO,tcp,ssh,1641,tcp-fin,1292288,962822,329466,Legitimo
2022-09-06T09:51:32.000-03:00,150.161.1.78,61883,UFPE,150.161.50.253,22,REDE_PRODUCAO,tcp,ssh,1641,tcp-fin,7690,5148,2542,Legitimo
2022-09-06T09:53:38.000-03:00,150.161.197.16,56366,UFPE,150.161.50.187,22,REDE_PRODUCAO,tcp,ssh,19,tcp-fin,25380,15417,9963,Legitimo
2022-09-06T10:05:43.000-03:00,150.161.11.168,42184,UFPE,150.161.50.187,22,REDE_PRODUCAO,tcp,ssh,17,tcp-fin,24005,15925,8080,Legitimo
2022-09-06T10:24:06.000-03:00,150.161.11.168,39274,UFPE,150.161.50.187,22,REDE_PRODUCAO,tcp,ssh,17,tcp-fin,25257,15413,9844,Legitimo
2022-09-06T10:27:54.000-03:00,150.161.11.168,57522,UFPE,150.161.50.187,22,REDE_PRODUCAO,tcp,ssh,16,tcp-fin,29567,21539,8028,Legitimo
2022-09-06T10:28:32.000-03:00,150.161.11.168,42008,UFPE,150.161.50.187,22,REDE_PRODUCAO,tcp,ssh,16,tcp-fin,24657,18723,5934,Legitimo
2022-09-06T10:32:58.000-03:00,150.161.11.168,33490,UFPE,150.161.50.187,22,REDE_PRODUCAO,tcp,ssh,17,tcp-fin,22209,15761,6448,Legitimo
2022-09-06T10:33:59.000-03:00,150.161.11.168,51814,UFPE,150.161.50.187,22,REDE_PRODUCAO,tcp,ssh,16,tcp-fin,23173,16313,6860,Legitimo
2022-09-06T10:34:45.000-03:00,150.161.11.168,44760,UFPE,150.161.50.187,22,REDE_PRODUCAO,tcp,ssh,16,tcp-fin,24449,18581,5868,Legitimo
2022-09-06T10:35:00.000-03:00,150.161.11.168,48342,UFPE,150.161.50.187,22,REDE_PRODUCAO,tcp,ssh,15,tcp-fin,24519,18651,5868,Legitimo
2022-09-06T10:51:20.000-03:00,150.161.1.78,61993,UFPE,150.161.50.253,22,REDE_PRODUCAO,tcp,ssh,3601,aged-out,7442,5020,2422,Legitimo
2022-09-06T11:45:26.000-03:00,150.161.1.19,50017,UFPE,150.161.50.55,22,REDE_PRODUCAO,tcp,ssh,2866,tcp-fin,2859111,2755575,103536,Legitimo
2022-09-06T11:48:09.000-03:00,150161196146,52502,UFPE,150.161.50.187,22,REDE_PRODUCAO,tcp,ssh,17,tcp-fin,22983,15779,7204,Legitimo
2022-09-06T11:49:56.000-03:00,150.161.11.105,56385,UFPE,150.161.50.187,22,REDE_PRODUCAO,tcp,ssh,21,tcp-fin,4927,2537,2390,Legitimo
2022-09-06T11:54:26.000-03:00,150.161.1.78,61992,UFPE,150.161.50.253,22,REDE_PRODUCAO,tcp,ssh,7388,aged-out,6523598,4949920,1573678,Legitimo
2022-09-06T11:54:26.000-03:00,150.161.1.78,61868,UFPE,150.161.50.253,22,REDE_PRODUCAO,tcp,ssh,9175,aged-out,2223308,1626832,596476,Legitimo
2022-09-06T11:54:31.000-03:00,150.161.1.78,63222,UFPE,150.161.50.197,22,REDE_PRODUCAO,tcp,ssh,3600,aged-out,12551,9037,3514,Legitimo
2022-09-06T11:55:15.000-03:00,150.161.1.78,63230,UFPE,150.161.50.191,22,REDE_PRODUCAO,tcp,ssh,3600,aged-out,12915,9341,3574,Legitimo
2022-09-06T12:54:30.000-03:00,150.161.1.78,63221,UFPE,150.161.50.197,22,REDE_PRODUCAO,tcp,ssh,7200,aged-out,1151907,868625,283282,Legitimo
2022-09-06T13:50:13.000-03:00,150.161.6.84,50000,,150.161.50.54,22,REDE_PRODUCAO,tcp,ssh,17,tcp-fin,10256,5495,4761,Legitimo
2022-09-06T13:50:19.000-03:00,150.161.6.84,44814,,150.161.50.55,22,REDE_PRODUCAO,tcp,ssh,20,tcp-fin,10116,5355,4761,Legitimo
2022-09-06T13:50:22.000-03:00,150.161.6.84,48432,,150.161.50.56,22,REDE_PRODUCAO,tcp,ssh,19,tcp-fin,10326,5565,4761,Legitimo
2022-09-06T13:52:55.000-03:00,150.161.6.84,44972,,150.161.50.55,22,REDE_PRODUCAO,tcp,ssh,16,tcp-fin,9204,4669,4535,Legitimo
2022-09-06T13:52:55.000-03:00,150.161.6.84,48578,,150.161.50.56,22,REDE_PRODUCAO,tcp,ssh,15,tcp-fin,9204,4669,4535,Legitimo
2022-09-06T13:52:55.000-03:00,150.161.6.84,50158,,150.161.50.54,22,REDE_PRODUCAO,tcp,ssh,15,tcp-fin,9204,4669,4535,Legitimo
2022-09-06T14:16:50.000-03:00,150161196161,64790,UFPE,150.161.50.29,22,REDE_PRODUCAO,tcp,ssh,136,tcp-rst-from-server,11008,6707,4301,Legitimo
